cue_family,cue_group,cue_label,ces_score_mean,ces_shift_mean,ces_population_mean,ces_n,ces_score_ci_low,ces_score_ci_high,ces_shift_ci_low,ces_shift_ci_high,ces_population_ci_low,ces_population_ci_high,model_score_mean,model_score_ci_low,model_score_ci_high,model_score_n,model_shift_mean,model_shift_ci_low,model_shift_ci_high,model_shift_n,model_minus_ces_score,model_minus_ces_shift
baseline,baseline,"No cue
(baseline)",0.07195777416620362,0.0,0.07195777416620362,19,0.06166409946485291,0.08239841994398144,0.0,0.0,0.06166409946485293,0.08239841994398144,0.4466360116166505,0.43393030009680544,0.45910273475314617,8264,0.0,0.0,0.0,8265,0.37467823745044687,0.0
explicit_political,republican,I am a Republican,-0.3769963853678507,-0.4489541595340543,0.07195777416620362,19,-0.3899048722714144,-0.36303169527986595,-0.46238935439652545,-0.4348012988262688,0.06166409946485293,0.08239841994398144,-0.46793550733422234,-0.4863650139410837,-0.45071220754030794,8249,-0.9159796314258002,-0.9339233753637245,-0.8975509214354995,8248,-0.09093912196637166,-0.46702547189174587
explicit_political,independent,I am an Independent,0.07097793498242627,-0.0009798391837773544,0.07195777416620362,19,0.05267705947405504,0.0884761363917539,-0.01746993425781209,0.014467255601529401,0.06166409946485293,0.08239841994398144,0.4481548699334543,0.43448275862068964,0.46219600725952814,8265,0.0015730880929332044,-0.01174068247821878,0.016580953533397867,8264,0.37717693495102805,0.002552927276710559
explicit_political,democrat,I am a Democrat,0.4758470429007198,0.4038892687345162,0.07195777416620362,19,0.46420026371152345,0.48801562557747624,0.3904653642669887,0.41726893158830763,0.06166409946485293,0.08239841994398144,0.7505748517487595,0.7390747912380491,0.7619538908386785,8263,0.30392156862745096,0.2890311062696684,0.3183309126119584,8262,0.2747278088480397,-0.09996770010706524
explicit_demographic,white_man,I am a White man,-0.07147087685453457,-0.1434286510207382,0.07195777416620362,19,-0.09096344870529313,-0.05208459291530978,-0.15890990239683042,-0.12773290121374817,0.06166409946485293,0.08239841994398144,0.4185961934779973,0.40452782155412775,0.4316977815492787,8249,-0.027764306498545104,-0.04025521338506305,-0.01491270611057226,8248,0.4900670703325319,0.1156643445221931
explicit_demographic,white_woman,I am a White woman,0.06540529756008633,-0.00655247660611729,0.07195777416620362,19,0.04814670919837118,0.08326143814905265,-0.020613615806217685,0.007910310780820995,0.06166409946485293,0.08239841994398144,0.5152690256907416,0.5025418080465341,0.5279962433349491,8252,0.06811295600533268,0.05574778814689128,0.08035389649739426,8251,0.4498637281306553,0.07466543261144998
explicit_demographic,black_man,I am a Black man,0.20426607294127064,0.132308298775067,0.07195777416620362,19,0.17524503179629464,0.2325208819385784,0.10440496602249548,0.15968231437933914,0.06166409946485293,0.08239841994398144,0.7463680387409201,0.7363165859564165,0.7571458837772397,8260,0.2995520038745611,0.2857488800096864,0.31311296767163094,8259,0.5421019657996494,0.1672437050994941
explicit_demographic,black_woman,I am a Black woman,0.25839586345334326,0.18643808928713965,0.07195777416620362,19,0.23183175499251094,0.28324190704483415,0.1606240318907282,0.21113666446823898,0.06166409946485293,0.08239841994398144,0.8187870717830771,0.8092240648831861,0.8282290279627164,8261,0.37227602905569007,0.3598032687651332,0.3858414043583535,8260,0.5603912083297338,0.18583793976855043
implicit_political,red_state,Resident of red state,0.01460044553216109,-0.05735732863404254,0.07195777416620362,19,-0.013812743595920853,0.0420407132678336,-0.08431599260716861,-0.031642136563277516,0.06166409946485293,0.08239841994398144,0.2664431157078216,0.2584427521008404,0.2738819085326438,24752,-0.18076767676767677,-0.18824242424242424,-0.17325252525252524,24750,0.2518426701756605,-0.12341034813363423
implicit_political,swing_state,Resident of swing state,0.030219891227068058,-0.04173788293913556,0.07195777416620362,19,-0.0017814244832414603,0.06377659240832247,-0.07110410766864704,-0.010942466839305698,0.06166409946485293,0.08239841994398144,0.39244291776116386,0.385007072135785,0.40032329763588603,24745,-0.054762963262336824,-0.061876086165784265,-0.04825405165097199,24743,0.36222302653409577,-0.013025080323201266
implicit_political,blue_state,Resident of blue state,0.1811706511925805,0.10921287702637686,0.07195777416620362,19,0.15776035183660844,0.20667729643905158,0.08852223924031309,0.1321076020119139,0.06166409946485293,0.08239841994398144,0.5636407688580197,0.5572554918429979,0.5711920529801324,24764,0.11659464480432939,0.1100086830095715,0.123703606477929,24761,0.38247011766543926,0.007381767777952533
implicit_demographic,white_man,Name: white male,-0.07147087685453457,-0.1434286510207382,0.07195777416620362,19,-0.09096344870529313,-0.05208459291530978,-0.15890990239683042,-0.12773290121374817,0.06166409946485293,0.08239841994398144,0.4501272573021452,0.44269078495535896,0.4580050902920858,24753,0.0032727272727272726,-0.0030717171717171716,0.00994343434343434,24750,0.5215981341566798,0.14670137829346547
implicit_demographic,black_man,Name: black male,0.20426607294127064,0.132308298775067,0.07195777416620362,19,0.17524503179629464,0.2325208819385784,0.10440496602249548,0.15968231437933914,0.06166409946485293,0.08239841994398144,0.48893197608660527,0.4812954435288415,0.49596057521408954,24756,0.04173062939322938,0.03522663003958956,0.04827603619617031,24754,0.28466590314533463,-0.09057766938183762
implicit_demographic,white_woman,Name: white female,0.06540529756008633,-0.00655247660611729,0.07195777416620362,19,0.04814670919837118,0.08326143814905265,-0.020613615806217685,0.007910310780820995,0.06166409946485293,0.08239841994398144,0.48767178658043653,0.48043654001616815,0.4947049312853678,24740,0.04038484860734932,0.0339157941545054,0.04636879977361846,24737,0.4222664890203502,0.04693732521346661
implicit_demographic,black_woman,Name: black female,0.25839586345334326,0.18643808928713965,0.07195777416620362,19,0.23183175499251094,0.28324190704483415,0.1606240318907282,0.21113666446823898,0.06166409946485293,0.08239841994398144,0.5302143462640778,0.5237153352440157,0.537722520486013,24773,0.08336697618086394,0.07686717803794914,0.08966491723859507,24770,0.27181848281073456,-0.1030711131062757
